"colName","description","unit","dataType","sensorMakeModel","methodName","methodNotes","methodDOI","depthTopM","depthBottomM","depthHeight","zeroRef"
"Date","year sampled","yyyy","date",NA,NA,NA,NA,NA,NA,"",""
"depth_upper","upper depth","cm","numeric",NA,NA,NA,NA,NA,NA,"depth","mineral soil interface"
"depth_lower","lower depth","cm","numeric",NA,NA,NA,NA,NA,NA,"depth","mineral soil interface"
"Alo","oxalate extractable aluminum","g/kg soil","numeric",NA,NA,NA,NA,NA,NA,"",""
"replicates","number of replicates","","numeric",NA,NA,NA,NA,NA,NA,"",""
"Alo_cv","oxalate extractable aluminum cv","percent","numeric",NA,NA,NA,NA,NA,NA,"",""















































