colName,description,unit,dataType,varName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
Year,year sampled,,date,,,,,,,,,
plt_name,plot ID,,string,,,,,,,,,
Field,site name,,string,,,,,,,,,
depth_upper,upper depth,cm,numeric,depth_upper,,,,,,,depth,mineral soil interface
depth_lower,lower depth,cm,numeric,depth_lower,,,,,,,depth,mineral soil interface
Treatment,treatment,,Heated;Control,,,,,,,,,
Carbon(mgC/g),soil organic carbon content,mgC/g soil,numeric,soil C,,,,,,,,





