"colName","description","unit","dataType","sensorMakeModel","methodName","methodNotes","methodDOI","depthTopM","depthBottomM","depthHeight","zeroRef"
"Date","year sampled","yyyy","date",NA,NA,NA,NA,NA,NA,"",""
"depth_upper","upper depth","cm","numeric",NA,NA,NA,NA,NA,NA,"depth","mineral soil interface"
"depth_lower","lower depth","cm","numeric",NA,NA,NA,NA,NA,NA,"depth","mineral soil interface"
"Silt","silt content","g/kg soil","numeric",NA,NA,NA,NA,NA,NA,"",""
"replicates","number of replicates","","numeric",NA,NA,NA,NA,NA,NA,"",""
"silt_cv","silt content cv","percent","numeric",NA,NA,NA,NA,NA,NA,"",""















































