colName,description,unit,dataType,siteName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
Date,year sampled,yyyy,numeric,,,,,,,,,
Horizons ,soil horizon name,,string,,,,,,,,,
replicates,number of replicates,,numeric,,,,,,,,,
depth_upper,upper depth,cm,numeric,,,,,,,,depth,mineral soil interface
depth_lower,lower depth,cm,numeric,,,,,,,,depth,mineral soil interface
Bulk density,soil bulk density,g/cm3,numeric,,,,,,,,,
bd_cv,soil bulk density cv,percent,numeric,,,,,,,,,
pH_H2O,soil pH in 1:1 water,pH,numeric,,,,,,,,,
pH_H2O_cv,soil pH in 1:1 water cv,percent,numeric,,,,,,,,,
Sand,sand content,g/kg soil,numeric,,,,,,,,,
sand_cv,sand content cv,percent,numeric,,,,,,,,,
Silt,silt content,g/kg soil,numeric,,,,,,,,,
silt_cv,silt content cv,percent,numeric,,,,,,,,,
Clay,clay content,g/kg soil,numeric,,,,,,,,,
clay_cv,clay content cv,percent,numeric,,,,,,,,,
CEC,cation exchange capacity,cmol/kg,numeric,,,,,,,,,
CEC_cv,cation exchange capacity cv,percent,numeric,,,,,,,,,
Base saturation,base saturation,percent,numeric,,,,,,,,,
bs_cv,base saturation cv,percent,numeric,,,,,,,,,
Alo,oxalate extractable aluminum,g/kg soil,numeric,,,,,,,,,
Alo_cv,oxalate extractable aluminum cv,percent,numeric,,,,,,,,,
Feo,oxalate extractable iron,g/kg soil,numeric,,,,,,,,,
Feo_cv,oxalate extractable iron cv,percent,numeric,,,,,,,,,
Fed,dithionite extractable iron,g/kg soil,numeric,,,,,,,,,
Fed_cv,dithionite extractable iron cv,percent,numeric,,,,,,,,,
Ald,dithionite extractable aluminum,g/kg soil,numeric,,,,,,,,,
Ald_cv,dithionite extractable aluminum cv,percent,numeric,,,,,,,,,
