"colName","description","unit","dataType","sensorMakeModel","methodName","methodNotes","methodDOI","depthTopM","depthBottomM","depthHeight","zeroRef"
"Date","year sampled","yyyy","date",NA,NA,NA,NA,NA,NA,"",""
"depth_upper","upper depth","cm","numeric",NA,NA,NA,NA,NA,NA,"depth","mineral soil interface"
"depth_lower","lower depth","cm","numeric",NA,NA,NA,NA,NA,NA,"depth","mineral soil interface"
"pH_H2O","soil pH in 1:1 water","pH","numeric",NA,NA,NA,NA,NA,NA,"",""
"replicates","number of replicates","","numeric",NA,NA,NA,NA,NA,NA,"",""
"pH_H2O_cv","soil pH in 1:1 water cv","percent","numeric",NA,NA,NA,NA,NA,NA,"",""















































