colName,description,unit,dataType,siteName,plotName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
TIMESTAMP,timestamp,dd/mm/yy hh:mm,date,ACBB_cropland,,,,,,,,,
T1_Temp5,"temperature at 5 cm, warmed grassland plot 1",deg C,numeric,ACBB_cropland,,,,,0,5,depth,,
T2_Temp5,"temperature at 5 cm, warmed grassland plot 2",deg C,numeric,ACBB_cropland,,,,,0,5,depth,,
T3_Temp5,"temperature at 5 cm, warmed grassland plot 3",deg C,numeric,ACBB_cropland,,,,,0,5,depth,,
C1_Temp5,"temperature at 5 cm, control grassland plot 1",deg C,numeric,ACBB_cropland,,,,,0,5,depth,,
C2_Temp5,"temperature at 5 cm, control grassland plot 2",deg C,numeric,ACBB_cropland,,,,,0,5,depth,,
C3_Temp5,"temperature at 5 cm, control grassland plot 3",deg C,numeric,ACBB_cropland,,,,,0,5,depth,,
T1_Temp15,"temperature at 15 cm, warmed grassland plot 1",deg C,numeric,ACBB_cropland,,,,,5,15,depth,,
T2_Temp15,"temperature at 15 cm, warmed grassland plot 2",deg C,numeric,ACBB_cropland,,,,,5,15,depth,,
T3_Temp15,"temperature at 15 cm, warmed grassland plot 3",deg C,numeric,ACBB_cropland,,,,,5,15,depth,,
C1_Temp15,"temperature at 15 cm, control grassland plot 1",deg C,numeric,ACBB_cropland,,,,,5,15,depth,,
C2_Temp15,"temperature at 15 cm, control grassland plot 2",deg C,numeric,ACBB_cropland,,,,,5,15,depth,,
C3_Temp15,"temperature at 15 cm, control grassland plot 3",deg C,numeric,ACBB_cropland,,,,,5,15,depth,,
T1_Temp30,"temperature at 30 cm, warmed grassland plot 1",deg C,numeric,ACBB_cropland,,,,,15,30,depth,,
T2_Temp30,"temperature at 30 cm, warmed grassland plot 2",deg C,numeric,ACBB_cropland,,,,,15,30,depth,,
T3_Temp30,"temperature at 30 cm, warmed grassland plot 3",deg C,numeric,ACBB_cropland,,,,,15,30,depth,,
C1_Temp30,"temperature at 30 cm, control grassland plot 1",deg C,numeric,ACBB_cropland,,,,,15,30,depth,,
C2_Temp30,"temperature at 30 cm, control grassland plot 2",deg C,numeric,ACBB_cropland,,,,,15,30,depth,,
C3_Temp30,"temperature at 30 cm, control grassland plot 3",deg C,numeric,ACBB_cropland,,,,,15,30,depth,,
T1_Temp50,"temperature at 50 cm, warmed grassland plot 1",deg C,numeric,ACBB_cropland,,,,,30,50,depth,,
T2_Temp50,"temperature at 50 cm, warmed grassland plot 2",deg C,numeric,ACBB_cropland,,,,,30,50,depth,,
T3_Temp50,"temperature at 50 cm, warmed grassland plot 3",deg C,numeric,ACBB_cropland,,,,,30,50,depth,,
C1_Temp50,"temperature at 50 cm, control grassland plot 1",deg C,numeric,ACBB_cropland,,,,,30,50,depth,,
C2_Temp50,"temperature at 50 cm, control grassland plot 2",deg C,numeric,ACBB_cropland,,,,,30,50,depth,,
C3_Temp50,"temperature at 50 cm, control grassland plot 3",deg C,numeric,ACBB_cropland,,,,,30,50,depth,,
T1_Temp75,"temperature at 75 cm, warmed grassland plot 1",deg C,numeric,ACBB_cropland,,,,,50,75,depth,,
T2_Temp75,"temperature at 75 cm, warmed grassland plot 2",deg C,numeric,ACBB_cropland,,,,,50,75,depth,,
T3_Temp75,"temperature at 75 cm, warmed grassland plot 3",deg C,numeric,ACBB_cropland,,,,,50,75,depth,,
C1_Temp75,"temperature at 75 cm, control grassland plot 1",deg C,numeric,ACBB_cropland,,,,,50,75,depth,,
C2_Temp75,"temperature at 75 cm, control grassland plot 2",deg C,numeric,ACBB_cropland,,,,,50,75,depth,,
C3_Temp75,"temperature at 75 cm, control grassland plot 3",deg C,numeric,ACBB_cropland,,,,,50,75,depth,,
T1_Temp100,"temperature at 100 cm, warmed grassland plot 1",deg C,numeric,ACBB_cropland,,,,,75,100,depth,,
T2_Temp100,"temperature at 100 cm, warmed grassland plot 2",deg C,numeric,ACBB_cropland,,,,,75,100,depth,,
T3_Temp100,"temperature at 100 cm, warmed grassland plot 3",deg C,numeric,ACBB_cropland,,,,,75,100,depth,,
C1_Temp100,"temperature at 100 cm, control grassland plot 1",deg C,numeric,ACBB_cropland,,,,,75,100,depth,,
C2_Temp100,"temperature at 100 cm, control grassland plot 2",deg C,numeric,ACBB_cropland,,,,,75,100,depth,,
C3_Temp100,"temperature at 100 cm, control grassland plot 3",deg C,numeric,ACBB_cropland,,,,,75,100,depth,,
,,,,,,,,,75,100,depth,,
