colName,description,unit,dataType,siteName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef,
TIMESTAMP,timestamp,dd/mm/yy hh:mm,date,ACBB_grassland,,,,,,,,,
T1_Vol_10,"soil moisture at 10 cm, warmed grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,0,10,depth,,
T1_Vol_20,"soil moisture at 20 cm, warmed grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,10,20,depth,,
T1_Vol_30,"soil moisture at 30 cm, warmed grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,20,30,depth,,
T1_Vol_60,"soil moisture at 60 cm, warmed grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,30,60,depth,,
T1_Vol_90,"soil moisture at 90 cm, warmed grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,60,90,depth,,
T1_Vol_130,"soil moisture at 130 cm, warmed grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,90,130,depth,,
C1_Vol_10,"soil moisture at 10 cm, control grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,0,10,depth,,
C1_Vol_20,"soil moisture at 20 cm, control grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,10,20,depth,,
C1_Vol_30,"soil moisture at 30 cm, control grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,20,30,depth,,
C1_Vol_60,"soil moisture at 60 cm, control grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,30,60,depth,,
C1_Vol_90,"soil moisture at 90 cm, control grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,60,90,depth,,
C1_Vol_130,"soil moisture at 130 cm, control grassland plot 1",vol water/vol soil,numeric,ACBB_grassland,,,,,90,130,depth,,
T2_Vol_10,"soil moisture at 10 cm, warmed grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,0,10,depth,,
T2_Vol_20,"soil moisture at 20 cm, warmed grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,10,20,depth,,
T2_Vol_30,"soil moisture at 30 cm, warmed grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,20,30,depth,,
T2_Vol_60,"soil moisture at 60 cm, warmed grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,30,60,depth,,
T2_Vol_90,"soil moisture at 90 cm, warmed grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,60,90,depth,,
T2_Vol_130,"soil moisture at 130 cm, warmed grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,90,130,depth,,
C2_Vol_10,"soil moisture at 10 cm, control grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,0,10,depth,,
C2_Vol_20,"soil moisture at 20 cm, control grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,10,20,depth,,
C2_Vol_30,"soil moisture at 30 cm, control grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,20,30,depth,,
C2_Vol_60,"soil moisture at 60 cm, control grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,30,60,depth,,
C2_Vol_90,"soil moisture at 90 cm, control grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,60,90,depth,,
C2_Vol_130,"soil moisture at 130 cm, control grassland plot 2",vol water/vol soil,numeric,ACBB_grassland,,,,,90,130,depth,,
T3_Vol_10,"soil moisture at 10 cm, warmed grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,0,10,depth,,
T3_Vol_20,"soil moisture at 20 cm, warmed grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,10,20,depth,,
T3_Vol_30,"soil moisture at 30 cm, warmed grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,20,30,depth,,
T3_Vol_60,"soil moisture at 60 cm, warmed grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,30,60,depth,,
T3_Vol_90,"soil moisture at 90 cm, warmed grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,60,90,depth,,
T3_Vol_130,"soil moisture at 130 cm, warmed grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,90,130,depth,,
C3_Vol_10,"soil moisture at 10 cm, control grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,0,10,depth,,
C3_Vol_20,"soil moisture at 20 cm, control grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,10,20,depth,,
C3_Vol_30,"soil moisture at 30 cm, control grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,20,30,depth,,
C3_Vol_60,"soil moisture at 60 cm, control grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,30,60,depth,,
C3_Vol_90,"soil moisture at 90 cm, control grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,60,90,depth,,
C3_Vol_130,"soil moisture at 130 cm, control grassland plot 3",vol water/vol soil,numeric,ACBB_grassland,,,,,90,130,depth,,
