colName,description,units,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef,notes
exp_name,exp_name,NA,string,NA,NA,NA,NA,NA,NA,NA,NA,NA
sit_name,sit_name,NA,string,NA,NA,NA,NA,NA,NA,NA,NA,NA
plt_name,plt_name,NA,string,NA,NA,NA,NA,NA,NA,NA,NA,NA
plt_block,plt_block,NA,string,NA,NA,NA,NA,NA,NA,NA,NA,NA
date,date,,date,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil_moist_manual..Vol..,volumetric soil moisture measured manually via TDR,percent,numeric,NA,NA,NA,NA,NA,NA,NA,NA,measured every 2 to 3 weeks 
depth,depth of measurement,cm,numeric,,,,,,,,,














































