colName,description,units,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef,notes
exp_name,FutureClim,NA,string,NA,NA,NA,NA,NA,NA,NA,NA,NA
sit_name,Aqueduct,NA,string,NA,NA,NA,NA,NA,NA,NA,NA,NA
plt_name,plt_name,NA,string,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timestamp,date,dmy HM,date,NA,NA,NA,NA,NA,NA,NA,NA,NA
depth,depth,cm,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temp,soil temperature,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA













































