colName,description,unit,dataType,siteName,plotName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
date,timestamp,mm/dd/yy,date,Prospect Hill,,,,,,,,,
year,year,yyyy,numeric,Prospect Hill,,,,,,,,,
doy,day of year,,numeric,Prospect Hill,,,,,,,,,
month,month,mm,numeric,Prospect Hill,,,,,,,,,
day,day,dd,numeric,Prospect Hill,,,,,,,,,
plot1h,"temperature in plot 1, heated",deg C,numeric,Prospect Hill,1,,,,,5,5,depth,
plot6h,"temperature in plot 6, heated",deg C,numeric,Prospect Hill,6,,,,,5,5,depth,
plot8h,"temperature in plot 8, heated",deg C,numeric,Prospect Hill,8,,,,,5,5,depth,
plot12h,"temperature in plot 12, heated",deg C,numeric,Prospect Hill,12,,,,,5,5,depth,
plot15h,"temperature in plot 15, heated",deg C,numeric,Prospect Hill,15,,,,,5,5,depth,
plot16h,"temperature in plot 16, heated",deg C,numeric,Prospect Hill,16,,,,,5,5,depth,
plot3d,"temperature in plot 3, disturbed unheated",deg C,numeric,Prospect Hill,3,,,,,5,5,depth,
plot5d,"temperature in plot 5, disturbed unheated",deg C,numeric,Prospect Hill,5,,,,,5,5,depth,
plot9d,"temperature in plot 9, disturbed unheated",deg C,numeric,Prospect Hill,9,,,,,5,5,depth,
plot10d,"temperature in plot 10, disturbed unheated",deg C,numeric,Prospect Hill,10,,,,,5,5,depth,
plot13d,"temperature in plot 13, disturbed unheated",deg C,numeric,Prospect Hill,13,,,,,5,5,depth,
plot17d,"temperature in plot 17, disturbed unheated",deg C,numeric,Prospect Hill,17,,,,,5,5,depth,
plot2c,"temperature in plot 2, control",deg C,numeric,Prospect Hill,2,,,,,5,5,depth,
plot4c,"temperature in plot 4, control",deg C,numeric,Prospect Hill,4,,,,,5,5,depth,
plot7c,"temperature in plot 7, control",deg C,numeric,Prospect Hill,7,,,,,5,5,depth,
plot11c,"temperature in plot 11, control",deg C,numeric,Prospect Hill,11,,,,,5,5,depth,
plot14c,"temperature in plot 14, control",deg C,numeric,Prospect Hill,14,,,,,5,5,depth,
plot18c,"temperature in plot 18, control",deg C,numeric,Prospect Hill,18,,,,,5,5,depth,
avg_heat,average temperature in heated plots,,,Prospect Hill,,,,,,5,5,depth,
avg_cont,average temperature in control plots,,,Prospect Hill,,,,,,5,5,depth,
avg_dcon,average temperature in disturbed control plots,,,Prospect Hill,,,,,,5,5,depth,
shed_air,average air temperature for Prospect Hill site,,,Prospect Hill,,,,,,,,,
