colName,description,units,dataType,varName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef,notes
timestamp,timestamp of measurement,NA,character,NA,,,,NA,NA,NA,NA,NA,NA
sit_name,site of the measurement (c3 or c4),NA,character,NA,,,,NA,NA,NA,NA,NA,NA
plt_name,the plot ID number of the measurement,NA,character,NA,,,,NA,NA,NA,NA,NA,NA
depth,depth of measurement,m,numeric,NA,type T thermocouple,NA,NA,NA,NA,NA,depth,atmosphere-soil,NA
soilT,mean soil temperature,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,mean of pin sensors directly next to the heating cable and lag pins some distance away from the heating cables






