colName,description,unit,dataType,siteName,plotName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
TIMESTAMP,Date-Time,Month/Date/Year Time,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
RECORD,Record Number,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
DateTime.1.,Year,Year,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
DateTime.9.,Julian Day-of-Year,Day,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
DateTime.4.,Hour,Hour,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
DateTime.5.,Minute,Minute,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
WWC_C1cen_Avg,Volumetric water content at center of plot,m3/m3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
EC_C1cen_Avg,Bulk electrical conductivity (dS/m) at center of plot,dS/m,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_C1cen_Avg,Soil temperature in C at center of plot,_,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Perm_C1cen_Avg,Dielectric permitivity at center of plot,F/m,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_C1cen_Avg,Period average in microseconds at center of plot,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_C1cen_Avg,Voltage ratio at center of plot,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
WWC_C1mid_Avg,Volumetric water content midway to center of plot,m3/m3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
EC_C1mid_Avg,Bulk electrical conductivity (dS/m) midway to center of plot,dS/m,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_C1mid_Avg,Soil temperature in C midway to center of plot,_,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Perm_C1mid_Avg,Dielectric permitivity midway to center of plot,F/m,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_C1mid_Avg,Period average in microseconds midway to center of plot,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_C1mid_Avg,Voltage ratio midway to center of plot,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
WWC_C1edg_Avg,Volumetric water content at edge of plot,m3/m3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
EC_C1edg_Avg,Bulk electrical conductivity (dS/m) at edge of plot,dS/m,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_C1edg_Avg,Soil temperature at edge of plot ,_,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Perm_C1edg_Avg,Dielectric permitivity at edge of plot,F/m,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_C1edg_Avg,Period average in microseconds at edge of plot,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_C1edg_Avg,Voltage ratio at edge of plot,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
WWC_H2cen_Avg,Volumetric water content at center of plot,m3/m3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
EC_H2cen_Avg,Bulk electrical conductivity (dS/m) at center of plot,dS/m,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_H2cen_Avg,Soil temperature in C at center of plot,_,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Perm_H2cen_Avg,Dielectric permitivity at center of plot,F/m,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_H2cen_Avg,Period average in microseconds at center of plot,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_H2cen_Avg,Voltage ratio at center of plot,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
WWC_H2mid_Avg,Volumetric water content midway to center of plot,m3/m3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
EC_H2mid_Avg,Bulk electrical conductivity (dS/m) midway to center of plot,dS/m,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_H2mid_Avg,Soil temperature in C midway to center of plot,_,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Perm_H2mid_Avg,Dielectric permitivity midway to center of plot,F/m,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_H2mid_Avg,Period average in microseconds midway to center of plot,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_H2mid_Avg,Voltage ratio midway to center of plot,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
WWC_H2edg_Avg,Volumetric water content at edge of plot,m3/m3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
EC_H2edg_Avg,Bulk electrical conductivity (dS/m) at edge of plot,dS/m,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_H2edg_Avg,Soil temperature in C at edge of plot ,_,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Perm_H2edg_Avg,Dielectric permitivity at edge of plot,F/m,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_H2edg_Avg,Period average in microseconds at edge of plot,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_H2edg_Avg,Voltage ratio at edge of plot,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
WWC_C3cen_Avg,Volumetric water content at center of plot,m3/m3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
EC_C3cen_Avg,Bulk electrical conductivity (dS/m) at center of plot,dS/m,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_C3cen_Avg,Soil temperature in C at center of plot,_,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Perm_C3cen_Avg,Dielectric permitivity at center of plot,F/m,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_C3cen_Avg,Period average in microseconds at center of plot,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_C3cen_Avg,Voltage ratio at center of plot,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
WWC_C3mid_Avg,Volumetric water content midway to center of plot,m3/m3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
EC_C3mid_Avg,Bulk electrical conductivity (dS/m) midway to center of plot,dS/m,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_C3mid_Avg,Soil temperature in C midway to center of plot,_,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Perm_C3mid_Avg,Dielectric permitivity midway to center of plot,F/m,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_C3mid_Avg,Period average in microseconds midway to center of plot,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_C3mid_Avg,Voltage ratio midway to center of plot,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
WWC_C3edg_Avg,Volumetric water content at edge of plot,m3/m3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
EC_C3edg_Avg,Bulk electrical conductivity (dS/m) at edge of plot,dS/m,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_C3edg_Avg,Soil temperature in C at edge of plot ,_,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Perm_C3edg_Avg,Dielectric permitivity at edge of plot,F/m,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_C3edg_Avg,Period average in microseconds at edge of plot,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_C3edg_Avg,Voltage ratio at edge of plot,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
WWC_H4cen_Avg,Volumetric water content at center of plot,m3/m3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
EC_H4cen_Avg,Bulk electrical conductivity (dS/m) at center of plot,dS/m,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_H4cen_Avg,Soil temperature in C at center of plot,_,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Perm_H4cen_Avg,Dielectric permitivity at center of plot,F/m,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_H4cen_Avg,Period average in microseconds at center of plot,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_H4cen_Avg,Voltage ratio at center of plot,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
WWC_H4mid_Avg,Volumetric water content midway to center of plot,m3/m3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
EC_H4mid_Avg,Bulk electrical conductivity (dS/m) midway to center of plot,dS/m,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_H4mid_Avg,Soil temperature in C midway to center of plot,_,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Perm_H4mid_Avg,Dielectric permitivity midway to center of plot,F/m,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_H4mid_Avg,Period average in microseconds midway to center of plot,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_H4mid_Avg,Voltage ratio midway to center of plot,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
WWC_H4edg_Avg,Volumetric water content at edge of plot,m3/m3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
EC_H4edg_Avg,Bulk electrical conductivity (dS/m) at edge of plot,dS/m,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_H4edg_Avg,Soil temperature in C at edge of plot ,_,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Perm_H4edg_Avg,Dielectric permitivity at edge of plot,F/m,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_H4edg_Avg,Period average in microseconds at edge of plot,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_H4edg_Avg,Voltage ratio at edge of plot,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
