colName,description,unit,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
plot,plot ID,,string,,,,,,,,
edge_plot,flag for whether or not plot is at the edge,,string,,,,,,,,
heat_trt,heat treatment,Htamb;Htelv,string,,,,,,,,
h20_trt,precipitation treatment,negH2O;aH2O,string,,,,,,,,
c_trt,CO2 treatment,C+;C,string,,,,,,,,
n_trt,nitrogen treatment,N+;N,string,,,,,,,,
com_trt,combined treatment ID,,string,,,,,,,,
com_trt_plot,combined treatment and plot ID,,string,,,,,,,,
ring,ring ID (this is like a block),,string,,,,,,,,
year,observation year,yyyy,numeric,,,,,,,,
doy,observation day of year,,numeric,,,,,,,,
hour,observation hour,,numeric,,,,,,,,
time4,timestamp,yyyy-mm-dd hh:mm:ss,date,,,,,,,,
flag1,need to verify,,,,,,,,,,
flag2,need to verify,,,,,,,,,,
flag3,need to verify,,,,,,,,,,
flag4,need to verify,,,,,,,,,,
flag5,need to verify,,,,,,,,,,
flag6,need to verify,,,,,,,,,,
flag7,need to verify,,,,,,,,,,
flag8,need to verify,,,,,,,,,,
flag9,need to verify,,,,,,,,,,
flag10,need to verify,,,,,,,,,,
a_duty_avg,need to verify,,,,,,,,,,
heat_a_avg,need to verify,,,,,,,,,,
amb_a_avg,need to verify,,,,,,,,,,
dif_a_avg,need to verify,,,,,,,,,,
dev_a_avg,need to verify,,,,,,,,,,
airtc_avg,need to verify,,,,,,,,,,
rh_avg,need to verify,,,,,,,,,,
vp_avg,need to verify,,,,,,,,,,
ws_ms_avg,need to verify,,,,,,,,,,
ptemp_avg,need to verify,,,,,,,,,,
above_temp,need to verify,,,,,,,,,,
amb_b,need to verify,,,,,,,,,,
dif_b,need to verify,,,,,,,,,,
e.15,need to verify,,,,,,,,,,
e.5,need to verify,,,,,,,,,,
e.15.1,need to verify,,,,,,,,,,
e.5.1,need to verify,,,,,,,,,,
lag_b,need to verify,,,,,,,,,,
pin_b,need to verify,,,,,,,,,,
soil_lag_temp,need to verify,,,,,,,,,,
soil_pin_temp,need to verify,,,,,,,,,,
soil_surface_temp,need to verify,,,,,,,,,,
d.32,need to verify,,,,,,,,,,
d.52,need to verify,,,,,,,,,,
d.72,need to verify,,,,,,,,,,
d.92,need to verify,,,,,,,,,,
amb_bnew,need to verify,,,,,,,,,,
difabove,need to verify,,,,,,,,,,
difaboveplot,need to verify,,,,,,,,,,
difbelow,need to verify,,,,,,,,,,
difpinplot,need to verify,,,,,,,,,,
diflagplot,need to verify,,,,,,,,,,
cstemp,need to verify,,,,,,,,,,
ec,need to verify,,,,,,,,,,
period,need to verify,,,,,,,,,,
perm,need to verify,,,,,,,,,,
vr,need to verify,,,,,,,,,,
vwc,volumetric water content,,,,,,,,,,
