colName,description,unit,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
TIMESTAMP,date and time,dd/mm/YYYY HH:MM:SS,date,,,,,,,,
RECORD,index,,numeric,,,,,,,,
STATNAME,"ID for plot ring (1:6); entered as ""Soil_1"" (etc.)",,character,,,,,,,,
VWC_A(1),volumetric water content for sensor A at 10 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
VWC_A(2),volumetric water content for sensor A at 20 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
VWC_A(3),volumetric water content for sensor A at 30 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
VWC_A(4),volumetric water content for sensor A at 40 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
VWC_A(5),volumetric water content for sensor A at 50 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
VWC_A(6),volumetric water content for sensor A at 60 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
VWC_A(7),volumetric water content for sensor A at 70 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
VWC_A(8),volumetric water content for sensor A at 80 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
VWC_A(9),volumetric water content for sensor A at 90 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
SAL_A(1),salinity for sensor A at 10 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
SAL_A(2),salinity for sensor A at 20 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
SAL_A(3),salinity for sensor A at 30 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
SAL_A(4),salinity for sensor A at 40 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
SAL_A(5),salinity for sensor A at 50 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
SAL_A(6),salinity for sensor A at 60 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
SAL_A(7),salinity for sensor A at 70 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
SAL_A(8),salinity for sensor A at 80 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
SAL_A(9),salinity for sensor A at 90 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
TEMP_A(1),temperature for sensor A at 10 cm depth,deg C,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
TEMP_A(2),temperature for sensor A at 20 cm depth,deg C,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
TEMP_A(3),temperature for sensor A at 30 cm depth,deg C,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
TEMP_A(4),temperature for sensor A at 40 cm depth,deg C,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
TEMP_A(5),temperature for sensor A at 50 cm depth,deg C,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
TEMP_A(6),temperature for sensor A at 60 cm depth,deg C,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
TEMP_A(7),temperature for sensor A at 70 cm depth,deg C,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
TEMP_A(8),temperature for sensor A at 80 cm depth,deg C,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
TEMP_A(9),temperature for sensor A at 90 cm depth,deg C,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
VWC_B(1),volumetric water content for sensor B at 10 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
VWC_B(2),volumetric water content for sensor B at 20 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
VWC_B(3),volumetric water content for sensor B at 30 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
VWC_B(4),volumetric water content for sensor B at 40 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
VWC_B(5),volumetric water content for sensor B at 50 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
VWC_B(6),volumetric water content for sensor B at 60 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
VWC_B(7),volumetric water content for sensor B at 70 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
VWC_B(8),volumetric water content for sensor B at 80 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
VWC_B(9),volumetric water content for sensor B at 90 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
SAL_B(1),salinity for sensor B at 10 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
SAL_B(2),salinity for sensor B at 20 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
SAL_B(3),salinity for sensor B at 30 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
SAL_B(4),salinity for sensor B at 40 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
SAL_B(5),salinity for sensor B at 50 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
SAL_B(6),salinity for sensor B at 60 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
SAL_B(7),salinity for sensor B at 70 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
SAL_B(8),salinity for sensor B at 80 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
SAL_B(9),salinity for sensor B at 90 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
TEMP_B(1),temperature for sensor B at 10 cm depth,deg C,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
TEMP_B(2),temperature for sensor B at 20 cm depth,deg C,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
TEMP_B(3),temperature for sensor B at 30 cm depth,deg C,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
TEMP_B(4),temperature for sensor B at 40 cm depth,deg C,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
TEMP_B(5),temperature for sensor B at 50 cm depth,deg C,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
TEMP_B(6),temperature for sensor B at 60 cm depth,deg C,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
