col_name,type,description,units,notes
exp_name,string,Experiment ID string,,
sit_name,string,Site ID string,,
plt_name,string,Plot ID string,,
plt_block,string,Experimental block,,
plt_rep,string,Plot replicate ID,,
plt_notes,string,Additional notes about plot data,,
plt_lat,num,Plot latitude,decimal degrees,
plt_long,num,Plot longitude,decimal degrees,
plt_date_i,date,Date treatment initiated,dd/mm/yyyy,could split into d/m/y cols
plt_heat_level,num,Temperature relative to ambient,degrees C,
plt_treat_add_name,string,Additional treatment name,,use for treatments applied in addition to heating
plt_treat_add_level,num,Additional treatment level,,"numerical coding for treatments, i.e., either quantitative data or coded factors"
plt_treat_add_units,string,Additional treatment level units,,units for numerical data or factor levels
