col_name,req,type,description,units,notes
exp_name,1,string,,,
heat_levels,1,num,,,sep = ;
heat_duration,1,string,Duration of year heated,,seasons?
heat_mtd_aboveGround,1,string,,,"can include ""none"""
heat_mtd_belowGround,1,string,,,
treatment_add_name,,string,,,
treatment_add_levels,,,,,
treatment_add_date_i,,date,,,
treatment_add_date_f,,date,,,
sensors,,string,list of sensor types,,csv
heat_BG_date_i,1,date,,,"can include ""NA"""
heat_BG_date_f,,date,,,
heat_AG_date_i,1,date,,,"can include ""NA"""
heat_AG_date_f,,date,,,
heat_BG_cable_depth,,num,,cm,
heat_BG_rod_depth,,num,,cm,
heat_BG_pwr,,num,,w m-2,
heat_BG_sensor_depths,,num,,,
heat_AG_pwr,,,,,
heat_AG_height,,num,,cm,
heat_AG_sensor_height,,,,,
heat_notes,,,,,
heat_BG_date_i,,,,,
heat_AG_date_i,,,,,
heat_levels,,,,,
heat_BG_temp_sensor,,,,,
heat_AG_temp_sensor,,,,,
soil_moisture_depths,,,,,
soil_moisture_sensor,,,,,
flux_mtd,,,,,
fluxes,,,,,
