exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units,plt_notes
B4WarmED,Cloquet,Cloquet_a1_1_3.6,a,1,,,treatment,3.6,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_a2_1_1.8,a,1,,,treatment,1.8,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_a3_1_0,a,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_a4_1_0,a,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_a5_1_0,a,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_a6_1_1.8,a,1,,,treatment,1.8,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_a7_1_3.6,a,1,,,treatment,3.6,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_a8_1_0,a,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b1_1_0,b,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b2_1_1.8,b,1,,,treatment,1.8,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b3_1_0,b,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b4_1_3.6,b,1,,,treatment,3.6,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b5_1_3.6,b,1,,,treatment,3.6,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b6_1_1.8,b,1,,,treatment,1.8,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b7_1_0,b,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_b8_1_0,b,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_c1_1_0,c,1,,,control,0,canopy;precip,1;0,closed;ambient,
B4WarmED,Cloquet,Cloquet_c2_1_3.6,c,1,,,treatment,3.6,canopy;precip,1;0,closed;ambient,
