exp_name,sit_name,plt_name,plt_block,plt_subBlock,plt_rep,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units,plt_notes
CiPEHR,Eight Mile Lake,control_a_1_1,a,1,1,,,control,0,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,control_summerWarm_a_1_1,a,1,1,,,control,0,summerWarm,,,OTC; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,control_a_1_2,a,1,2,,,control,0,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,control_summerWarm_a_1_2,a,1,2,,,control,0,summerWarm,,,OTC; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_a_1_1,a,1,1,,,treatment,3,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_summerWarm_a_1_1,a,1,1,,,treatment,3,summerWarm,,,OTC; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_a_1_2,a,1,2,,,treatment,3,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_summerWarm_a_1_2,a,1,2,,,treatment,3,summerWarm,,,OTC; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,control_a_2_1,a,2,1,,,control,0,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,control_summerWarm_a_2_1,a,2,1,,,control,0,summerWarm,,,OTC; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,control_a_2_2,a,2,2,,,control,0,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,control_summerWarm_a_2_2,a,2,2,,,control,0,summerWarm,,,OTC; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_a_2_1,a,2,1,,,treatment,3,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_summerWarm_a_2_1,a,2,1,,,treatment,3,summerWarm,,,OTC; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_a_2_2,a,2,2,,,treatment,3,,,,air warming control; subBlock = snow fence ID
CiPEHR,Eight Mile Lake,winterWarm_summerWarm_a_2_2,a,2,2,,,treatment,3,summerWarm,,,OTC; subBlock = snow fence ID
