exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units
DFWEP,Dinghushan,S1,,1,,,0,,,
DFWEP,Dinghushan,S2,,1,,,0,,,
DFWEP,Dinghushan,S3,,1,,,0,,,
DFWEP,Dinghushan,S4,,1,,,1,,,
DFWEP,Dinghushan,S5,,1,,,1,,,
DFWEP,Dinghushan,S6,,1,,,1,,,
DFWEP,Dinghushan,S7,,1,,,2.1,,,
DFWEP,Dinghushan,S8,,1,,,2.1,,,
DFWEP,Dinghushan,S9,,1,,,2.1,,,



















































































