exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units,plt_notes
Harvard Forest,Harvard warming,control_1,1,,,,control,0,,,,
Harvard Forest,Harvard warming,disturbance control_1,1,,,,control,0,,,,
Harvard Forest,Harvard warming,heated_1,1,,,,treatment,5,,,,
Harvard Forest,Harvard warming,control_2,2,,,,control,0,,,,
Harvard Forest,Harvard warming,disturbance control_2,2,,,,control,0,,,,
Harvard Forest,Harvard warming,heated_2,2,,,,treatment,5,,,,
Harvard Forest,Harvard warming,control_3,3,,,,control,0,,,,
Harvard Forest,Harvard warming,disturbance control_3,3,,,,control,0,,,,
Harvard Forest,Harvard warming,heated_3,3,,,,treatment,5,,,,
Harvard Forest,Harvard warming,control_4,4,,,,control,0,,,,
Harvard Forest,Harvard warming,disturbance control_4,4,,,,control,0,,,,
Harvard Forest,Harvard warming,heated_4,4,,,,treatment,5,,,,
Harvard Forest,Harvard warming,control_5,5,,,,control,0,,,,
Harvard Forest,Harvard warming,disturbance control_5,5,,,,control,0,,,,
Harvard Forest,Harvard warming,heated_5,5,,,,treatment,5,,,,
Harvard Forest,Harvard warming,control_6,6,,,,control,0,,,,
Harvard Forest,Harvard warming,disturbance control_6,6,,,,control,0,,,,
Harvard Forest,Harvard warming,heated_6,6,,,,treatment,5,,,,












