exp_name,sit_name,plt_name,plt_block,plt_subBlock,plt_rep,plt_lat,plt_long,plt_notes,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units
MERIT,PIO,110,,,1,,,"plt_rep is transect within the site, but numbered continuously across sites",amb,,,
MERIT,PIO,111,,,1,,,,1.5,,,
MERIT,PIO,112,,,1,,,,3,,,
MERIT,PIO,120,,,2,,,,amb,,,
MERIT,PIO,121,,,2,,,,1.5,,,
MERIT,PIO,122,,,2,,,,3,,,
MERIT,PIO,130,,,3,,,,amb,,,
MERIT,PIO,131,,,3,,,,1.5,,,
MERIT,PIO,132,,,3,,,,3,,,
MERIT,LM,240,,,4,,,,amb,,,
MERIT,LM,241,,,4,,,,1.5,,,
MERIT,LM,242,,,4,,,,3,,,
MERIT,LM,250,,,5,,,,amb,,,
MERIT,LM,251,,,5,,,,1.5,,,
MERIT,LM,252,,,5,,,,3,,,
MERIT,LM,260,,,6,,,,amb,,,
MERIT,LM,261,,,6,,,,1.5,,,
MERIT,LM,262,,,6,,,,3,,,
MERIT,HM,370,,,7,,,,amb,,,
MERIT,HM,371,,,7,,,,1.5,,,
MERIT,HM,372,,,7,,,,3,,,
MERIT,HM,380,,,8,,,,amb,,,
MERIT,HM,381,,,8,,,,1.5,,,
MERIT,HM,382,,,8,,,,3,,,
MERIT,HM,390,,,9,,,,amb,,,
MERIT,HM,391,,,9,,,,1.5,,,
MERIT,HM,392,,,9,,,,3,,,

























































