exp_name,sit_name,sit_lat,sit_long,datum,elevation,MAT,MAP,biome,leafPheno,species,landscape_position,slope,soil_drainage,soil_taxon_sys,soil_taxon,parent_material
MERIT,PIO,54.5996,8.8184,NHN,,10.2,1047.6,salt marsh,,Spartina anglica; Salicornia europaea,,,saturated,,,
MERIT,LM,54.5996,8.8184,NHN,,10.2,1047.6,salt marsh,,Puccinellia maritima; Atriplex portulacoides; Limonium vulgare,,,saturated,,,
MERIT,HM,54.5996,8.8184,NHN,,10.2,1047.6,salt marsh,,Elymus athericus,,,saturated,,,

























































