exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_date_i,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units,plt_notes
Stillburg,Stillburg,Larix_1_0_200,Larix,1,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_2_0_200,Larix,2,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_3_0_200,Larix,3,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_4_0_200,Larix,4,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_5_0_200,Larix,5,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_1_0_0,Larix,1,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_2_0_0,Larix,2,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_3_0_0,Larix,3,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_4_0_0,Larix,4,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_5_0_0,Larix,5,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_1_4_200,Larix,1,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_2_4_200,Larix,2,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_3_4_200,Larix,3,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_4_4_200,Larix,4,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_5_4_200,Larix,5,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Larix_1_4_0,Larix,1,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_2_4_0,Larix,2,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_3_4_0,Larix,3,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_4_4_0,Larix,4,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Larix_5_4_0,Larix,5,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_1_0_200,Pinus,1,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_2_0_200,Pinus,2,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_3_0_200,Pinus,3,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_4_0_200,Pinus,4,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_5_0_200,Pinus,5,,,,0,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_1_0_0,Pinus,1,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_2_0_0,Pinus,2,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_3_0_0,Pinus,3,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_4_0_0,Pinus,4,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_5_0_0,Pinus,5,,,,0,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_1_4_200,Pinus,1,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_2_4_200,Pinus,2,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_3_4_200,Pinus,3,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_4_4_200,Pinus,4,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_5_4_200,Pinus,5,,,,4,eCO2,200,ppm above ambient,
Stillburg,Stillburg,Pinus_1_4_0,Pinus,1,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_2_4_0,Pinus,2,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_3_4_0,Pinus,3,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_4_4_0,Pinus,4,,,,4,eCO2,0,ppm above ambient,
Stillburg,Stillburg,Pinus_5_4_0,Pinus,5,,,,4,eCO2,0,ppm above ambient,










