exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units,plt_notes
TEAM,Haibei,1,,1,,,control,0,,,,
TEAM,Haibei,3,,2,,,control,0,,,,
TEAM,Haibei,5,,3,,,control,0,,,,
TEAM,Haibei,7,,4,,,control,0,,,,
TEAM,Haibei,2,,1,,,treatment,4,,,,
TEAM,Haibei,4,,2,,,treatment,4,,,,
TEAM,Haibei,6,,3,,,treatment,4,,,,
TEAM,Haibei,8,,4,,,treatment,4,,,,





































































































































