exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units,plt_notes
TRACE,Luquillo,control_1,,1,,,control,0,,,,
TRACE,Luquillo,control_2,,2,,,control,0,,,,
TRACE,Luquillo,control_3,,3,,,control,0,,,,
TRACE,Luquillo,heated_4,,1,,,treatment,4,,,,
TRACE,Luquillo,heated_5,,2,,,treatment,4,,,,
TRACE,Luquillo,heated_6,,3,,,treatment,4,,,,









































































































































