Experiment,WarmingLevels,HeatingDuration,heat_mtd_aboveGround,heat_mtd_belowGround,treatment_add_name,warmingDuration,Country,Latitude,Longitude,Elevation,MAT,MAP,PET,Ecosystem,Soil Order,
,,,,,,,,dec. deg.,,m,¡C,mm yr-1,,,USDA-NRCS,
185 Experiment Station,1.5,year round,IR,,N,17,China,37.88,114.68,50,14.8,741.4,1468,cropland,Inceptisols,
ACBB,4,year round,,rods; cable,crop rotation; N,7,France,46.42,0.12,146,12.0,760,1025,cropland; grassland,Alfisols,
ForHot,1; 3; 5; 10; 20,year round,,geothermal,,18,Iceland,64.01,-21.18,126,5.2,1457,564,boreal forest; grassland,Inceptisols,
B4WarmED,1.7; 3.4,partial (growing season),IR,cable,canopy cover,20,USA,47.03,-91.92,382,3.0; 4.5,807,870; 970,boreal forest; temperate forest,Spodisols; Alfisols,
Achenkirch,4,partial (snow-free season),,cable,,21,Austria,47.58,11.64,910,6.8,1563,883,temperate forest,Alfisols,
Blodgett,4,year round,,rods; cable,,12,USA,38.91,-120.66,1370,12.5,1774,1681,temperate forest,Alfisols,
Harvard Forest,5,year round,,cable,,35,USA,42.54,-72.18,340,8.2,1141,1007,temperate forest,Inceptisols,
Stillberg,4,partial (snow-free season),,cable,eCO2; canopy cover,5,Switzerland,46.77,9.87,2180,2.1,1155,716,temperate forest,Inceptisols,
Sanming,4,year round,,cable,,10,China,26.17,117.47,250,19.3,1638,1355,subtropical forest,Ultisols,
Lyon Arboretum ,4,year round,,rods,,1,USA,21.33,-157.80,150,25.6,4200,1891,tropical forest,Andisols,
SWELTR,4,year round,,cable,,9,Panama,9.16,-79.85,60,26.0,2600,1679,tropical forest,Ultisols,
TRACE,4,year round,IR,,,10,USA,18.30,-65.83,100,24.0,3500,1575,tropical forest,Ultisols,
FutureClim,4,partial (growing season),OTC,rods,drought,3,Australia,-36.37,148.43,1600,6.3,2144,1111,grassland,Inceptisols,
KAEFS,3,year round,IR,,canopy cover; H2O,17,USA,34.98,-97.52,330,16.3,914,1773,grassland,Inceptisols,
Point Reyes,4,year round,,rods; cable,,1,USA,37.97,-122.73,125,12.5,1774,1384,grassland,Alfisols,
TeRaCON,2.5,partial (growing season),IR,resistance cables,eCO2; N; precip,14,USA,45.40,-93.20,282,7.0,660,1044,grassland,Entisols,
SPRUCE,2.25; 4.5; 6.75; 9,year round,forced air,rods; cable,eCO2,10,USA,47.51,-93.45,418,3.3,768,921,peatland,Alfisols,
GENX,0.75; 1.5; 2.25; 3.0; 3.75; 4.5; 5.25; 6,year round,,cable,,4,USA,38.88,-76.55,0,13.0,1130,1359,salt marsh,Ultisols,
MERIT,1.5; 3.0,year round,OTC,cable,,7,Germany,54.60,8.82,0,10.2,1047.6,679,salt marsh,Entisols,
SMARTX,1.7; 3.4; 5.1,year round,IR,cable,eCO2,9,USA,38.88,-76.55,0,13.0,1130,1359,salt marsh,Ultisols,
CiPEHR,3,winter,snow fence; OTC,,,18,USA,63.88,-149.23,700,-1.0,378,592,tundra,Inceptisols,
SWAMP,2,partial (growing season ),IR,rods,,4,China,37.50,100.24,3670,-0.1,364.6,1037,tundra,Mollisols,
TEAM,4,year round,,rods; cable,,7,China,37.62,101.20,3200,-0.6,460,1090,tundra,Gelisols,
