"","exp_name","heat_levels","heat_duration","heat_mtd_aboveGround","heat_mtd_belowGround","treatment_add_name","treatment_add_levels","treatment_add_units","treatment_add_date_i","treatment_add_date_f","sensors","heat_BG_date_i","heat_BG_date_f","heat_AG_date_i","heat_AG_date_f","heat_BG_cable_depth","heat_BG_rod_depth","heat_BG_pwr","heat_BG_sensor_depths","heat_AG_pwr","heat_AG_height","heat_AG_sensor_height","heat_notes","heat_BG_temp_sensor","heat_AG_temp_sensor","soil_moisture_depths","soil_moisture_sensor","flux_mtd","fluxes","heat_BG_date_f.1","sit_name","sit_lat","sit_long","datum","elevation","country","MAT","MAT_refPeriod","MAP","MAP_refPeriod","biome","leafPheno","species","landscape_position","slope","aspect","soil_drainage","soil_texture_class","soil_taxon_sys","soil_taxon","parent_material","site_notes","permafrost","soil_depth","belowground","aboveground"
"1","185ExperimentStation","0;1.5","year round","infrared heaters","none","N(nitrogen)","240","kg/ha","10/20/2008",NA,"soil moisture;soil temperature",NA,"none","10/20/2008",NA,NA,NA,NA,NA,"1000w",180,NA,NA,"METER EM50",NA,"5;20;40","METER EM50","Static box","CO2, CH4, N2O",NA,"185ExperimentStation",37.88,114.68,NA,"50.1","China",14.8,"2023",741.4,"2023","cropland",NA,NA,NA,NA,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,16.7315068493151
"2","ACBB","0; 4","year round",NA,"resistance rods; resistance cable","crop rotation; N add","grassland; cropland; N add",NA,"2005",NA,"soil temperature; soil moisture","2019",NA,NA,NA,5,"200",NA,"5; 15; 30; 50; 75; 100",NA,NA,NA,NA,"OMEGA 44,007 thermistor",NA,"15; 30; 50; 70; 90","enviroSCAN probe","chambers","CO2",NA,"ACBB_grassland",46.42025278,0.124819444,NA,NA,"France",12,NA,760,NA,"grassland",NA,"Lolium perenne; Dactylis glomerata; Festuca arundinacea",NA,0.5,NA,NA,NA,"WRB","Cambisol; Paleo-Ferralsol",NA,NA,NA,NA,6.53150684931507,NA
"3","ACBB","0; 4","year round",NA,"resistance rods; resistance cable","crop rotation; N add","grassland; cropland; N add",NA,"2005",NA,"soil temperature; soil moisture","2019",NA,NA,NA,5,"200",NA,"5; 15; 30; 50; 75; 100",NA,NA,NA,NA,"OMEGA 44,007 thermistor",NA,"15; 30; 50; 70; 90","enviroSCAN probe","chambers","CO2",NA,"ACBB_cropland",46.42025278,0.124819444,NA,NA,"France",12,NA,760,NA,"cropland",NA,"Zea mays; Triticum spp.; Hordeum vulgare",NA,0.5,NA,NA,NA,"WRB","Cambisol; Paleo-Ferralsol",NA,NA,NA,NA,6.53150684931507,NA
"4","Achenkirch","0; 4","partial (snow-free season)",NA,"resistance cables",NA,NA,NA,NA,NA,"soil temperature; moisture","2005",NA,NA,NA,3,NA,NA,"1; 5",NA,NA,NA,NA,"handheld thermistor",NA,"5; 15","ECH2O-10","incubation","CO2",NA,"montane forest",47.58055556,11.63916667,NA,"910",NA,6.8,NA,1563,NA,"temperate forest","evergreen","Picea abies; Abies alba; Fagus sylvatica",NA,NA,NA,NA,NA,"WRB","chromic cambisols; rendzic leptosols","igneous intrusive; dolomite",NA,NA,NA,20.5315068493151,NA
"5","B4WarmED","0; 1.7; 3.4","partial (growing season)","infrared heaters","resistance cables","canopy cover",NA,NA,"2006",NA,"precipitation; soil temperature; air temperature; vegetation temperature; soil moisture; net solar radiation; wind speed and direction; humidity","2006",NA,"2006",NA,10,NA,153,"10; 20; 30; 50; 75; 100","499 (1.7 degC); 333 (3.4 degC)",160,"180","infrared output is ca. 30% of electrical data; AG temp sensors infrared based; AG sensor height initially 1600 but changed to 1850 in 2011","thermocouple T","infrared radiometer","0-20","Campbell Scientific CS-616 probe",NA,NA,NA,"Cloquet",46.1238889,-92.0894444,NA,"382",NA,4.5,NA,807,NA,"temperate forest","mixed","populus tremuloides; betula spp.; abies spp.","upland",NA,NA,"well-drained",NA,NA,NA,NA,NA,NA,NA,19.5315068493151,19.5315068493151
"6","B4WarmED","0; 1.7; 3.4","partial (growing season)","infrared heaters","resistance cables","canopy cover",NA,NA,"2006",NA,"precipitation; soil temperature; air temperature; vegetation temperature; soil moisture; net solar radiation; wind speed and direction; humidity","2006",NA,"2006",NA,10,NA,153,"10; 20; 30; 50; 75; 100","499 (1.7 degC); 333 (3.4 degC)",160,"180","infrared output is ca. 30% of electrical data; AG temp sensors infrared based; AG sensor height initially 1600 but changed to 1850 in 2011","thermocouple T","infrared radiometer","0-20","Campbell Scientific CS-616 probe",NA,NA,NA,"Ely",47.945176,-91.757891,NA,"415",NA,3,NA,722,NA,"boreal forest","mixed","populus tremuloides; betula spp.; abies spp.","upland",NA,NA,"well-drained",NA,NA,NA,NA,NA,NA,NA,19.5315068493151,19.5315068493151
"7","Blodgett","0; 4","year round",NA,"resistance rods; cables",NA,NA,NA,NA,NA,"surface respiration; temperature; moisture; gas well","`10/13/2013",NA,NA,NA,5,"240",NA,"5; 15; 30; 50; 75; 100",NA,NA,NA,NA,"Omega 44005 thermistor",NA,"10; 30; 50; 90","enviroSCAN capacitance","autochamber; CRDS","CO2",NA,"Blodgett",38.908122,-120.66077,"WGS84","1370",NA,12.5,NA,1774,NA,"temperate forest","conifer","Pinus ponderosa; Pinus lambertiana; Calocedrus decurrens; Abies concolor; Pseudotsuga menziesii",NA,NA,NA,NA,NA,"USDA","Alfisols","igneous intrusive",NA,NA,NA,11.7506849315069,NA
"8","CiPEHR","0; 3","winter","snow fence/open top chamber","none",NA,NA,NA,NA,NA,"air temperature; soil temperature; relative humidity; soil moisture; PAR; wind speed and direction",NA,NA,"2008",NA,NA,"constantan-copper thermocouples",NA,"5; 10; 20; 40",NA,NA,NA,NA,"constantan-copper thermocouples",NA,"0-15","CS616 reflectometer","chamber","CO2",NA,"Eight Mile Lake",63.88305556,-149.2255556,NA,"700",NA,-1,NA,378,NA,"tundra",NA,"Eriophorum vaginatum; Vaccinium uliginosum; Pleurozium schreberi","slope",NA,"NE","poor",NA,"USDA","Gelisols","glacial till; loess",NA,NA,NA,NA,17.5315068493151
"9","ForHot","0; 1; 3; 5; 10; 20","year round",NA,"geothermal",NA,NA,NA,NA,NA,NA,"2008",NA,NA,NA,NA,NA,NA,"10; 90",NA,NA,"2; 15; 200","vertical profile temp measurements to 90 cm conducted by hand",NA,NA,"0-5","handheld Theta Probe Model ML3 Delta-T Devices Ltd.",NA,NA,NA,"FN",64.008,-21.178,NA,"125.5",NA,5.2,NA,1457,NA,"boreal forest",NA,"Picea sitchensis",NA,NA,NA,NA,"silty loam","WRB","Silandic andisols",NA,"coords are for nearby town; elevation is mean of all three sites",NA,NA,17.5315068493151,NA
"10","ForHot","0; 1; 3; 5; 10; 20","year round",NA,"geothermal",NA,NA,NA,NA,NA,NA,"2008",NA,NA,NA,NA,NA,NA,"10; 90",NA,NA,"2; 15; 200","vertical profile temp measurements to 90 cm conducted by hand",NA,NA,"0-5","handheld Theta Probe Model ML3 Delta-T Devices Ltd.",NA,NA,NA,"GO",64.008,-21.178,NA,"125.5",NA,5.2,NA,1457,NA,"grassland",NA,"Agrostis capillaris",NA,NA,NA,NA,"silty loam","WRB","Silandic andisols",NA,"coords are for nearby town; elevation is mean of all three sites",NA,NA,17.5315068493151,NA
