,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,,,,,,,,,
Intercept,1.343206926,2.384422391,-3.4392712,6.062092995,1.002121984,1232.984619,2057.68154,,,term,slope,5,95,intercept,5,95
st_mean,-0.419987697,0.097715601,-0.614151536,-0.229573135,1.001217711,2375.890979,2617.805216,,,,,%,,,%,
ecocropland,-2.893735945,3.21017853,-9.261863358,3.395597605,1.001316875,2190.541497,2849.837593,,,boreal forest:ÆST,-0.42,-0.61,-0.23,1.34,-3.44,6.06
ecograssland,-3.616006465,2.705111241,-8.851083304,1.805603791,0.999636954,2199.475952,2961.433427,,,temp. forest:ÆST,-0.17336698,-0.71,0.37,-3.14,-14.68,11.22
ecosubtropicalforest,-4.17756743,2.305273381,-8.685662827,0.409004465,0.999820517,2670.36653,3219.219859,,,subtrop. forest:ÆST,0.111173159,-0.33,0.56,-2.83,-10.78,7.81
ecotemperateforest,-4.478683118,4.21938608,-12.58241693,3.818311086,1.000346275,1915.801084,2444.916717,,,tropical forest:ÆST,0.076836586,-0.26,0.43,3.6,-2.96,12.93
ecotropicalforest,2.252437062,1.67674382,-0.864113455,5.523234079,1.000292008,2920.376014,3129.54742,,,grassland,0.431309109,0.00,0.88,-2.27,-10.95,9.21
ecotundra,-0.095116409,1.844188051,-3.678713844,3.629872764,0.999839423,2460.990528,2874.050791,,,cropland,0.125548848,-0.17,0.42,-1.55,-11.36,10.8
control_mean.sm,-0.067332319,0.004326473,-0.075682081,-0.058735772,1.001093188,6886.482135,3285.957654,,,tundra,-0.01701334,-0.23,0.20,1.25,-5.77,11.04
control_mean.st,0.012048363,0.014138883,-0.015169257,0.039404171,1.001370465,6903.99581,3299.550846,,,ambient soil moist.,-0.02,-0.23,0.20,,,
depth,0.013215459,0.008356167,-0.003099683,0.029808434,1.001536484,7310.457882,3163.613151,,,ambient soil temp.,0.01,-0.02,0.04,,,
st_mean:ecocropland,0.545536545,0.151002076,0.251381248,0.844076152,1.001116833,2658.314945,2963.356963,,,depth,0.01,0,0.03,,,
st_mean:ecograssland,0.851296806,0.224839598,0.421961776,1.303580751,1.000214209,3079.294213,2865.793972,,,,,,,,,
st_mean:ecosubtropicalforest,0.531160856,0.226841806,0.088211166,0.97819804,1.000718628,4422.263426,3446.770868,,ref_grid,ref_val,cntr_val,true_val,,,,
st_mean:ecotemperateforest,0.246620717,0.270595641,-0.286449187,0.791297176,1.003702934,2506.084892,2687.394801,,st_mean,0.013062,3.341816,3.4,,,,
st_mean:ecotropicalforest,0.496824283,0.176649431,0.158600261,0.847740268,1.002529335,4006.981463,3170.994029,,sm_ctl,5.7836,38.34785,44.1,,,,
st_mean:ecotundra,0.402974357,0.109396867,0.189459618,0.618734162,1.001072181,2734.341735,3013.280807,,st_ctl,0.040178,9.934415,10,,,,
st_mean:control_mean.sm,0.0108039,0.001684134,0.00756504,0.014102301,0.999907102,3017.249483,3563.28307,,depth,31.36,,31.4,,,,
st_mean:control_mean.st,0.008497942,0.003790428,0.001031894,0.016108567,1.000307122,6768.289566,3358.764961,,doy,193.5,,193.5,,,,
,,,,,,,,,,,,,,,,
,eco,,st_mean.trend,lower.HPD,upper.HPD,,,,term,slope,5,95,intercept,5,95,
,boreal,forest,-0.35,-0.53,-0.17,,,,,,%,,,%,,
,temperate,forest,-0.11,-0.61,0.38,,,,boreal forest:ÆST,-0.42,-0.61,-0.23,1.34,-3.44,6.06,
,subtropical,forest,0.18,-0.21,0.55,,,,temp. forest:ÆST,-0.17,-1.32,0.14,-3.14,-14.68,11.22,
,tropical,forest,0.14,-0.13,0.44,,,,subtrop. forest:ÆST,0.11,-0.95,0.33,-2.83,-10.78,7.81,
,grassland,,0.49,0.14,0.86,,,,tropical forest:ÆST,0.08,-0.88,0.2,3.6,-2.96,12.93,
,cropland,,0.19,0.00,0.38,,,,grassland,0.43,-0.61,0.65,-2.27,-10.95,9.21,
,tundra,,0.05,-0.06,0.15,,,,cropland,0.13,-0.78,0.19,-1.55,-11.36,10.8,
,boreal,forest,1.7,-3.0,6.5,,,,tundra,0.04,0,-0.03,1.25,-5.77,11.04,
,cropland,,-1.0,-6.3,4.6,,,,ambient soil moist.,-0.07,-0.08,-0.06,,,,
,grassland,,-1.9,-7.5,3.7,,,,ambient soil temp.,0.01,-0.02,0.04,,,,
,subtropical,forest,-5.1,-11.5,0.9,,,,depth,0.01,0,0.03,,,,
,temperate,forest,-4.0,-10.5,2.9,,,,,,,,,,,
,tropical,forest,5.4,0.1,10.9,,,,,,,,,,,
,tundra,,-1.2,-5.8,3.9,,,,,,,,,,,
