Term,Estimate,Est.Error,Lower95,Upper95,
b_Intercept,1.98,5.58,-9.16,12.92,
b_st_mean,0.27,0.37,-0.48,1,
b_ecocropland,-6.9,8.57,-23.47,9.63,
b_ecograssland,-13.48,7.45,-28.52,0.78,
b_ecosubtropicalforest,-7.59,11.1,-29.86,14.79,
b_ecotemperateforest,-6.05,7.7,-20.87,10.12,
b_ecotropicalforest,1.04,8.86,-16.24,18.5,
b_ecotundra,-1.29,7.93,-16.51,14.98,
b_control_mean.sm,-0.48,0,-0.49,-0.47,1
b_control_mean.st,-0.05,0.01,-0.08,-0.03,1
b_depth,-0.06,0.01,-0.08,-0.04,1
b_st_mean:ecocropland,-0.1,0.58,-1.28,1.04,
b_st_mean:ecograssland,-0.58,0.51,-1.59,0.45,
b_st_mean:ecosubtropicalforest,-0.27,0.74,-1.73,1.3,
b_st_mean:ecotemperateforest,-0.44,0.49,-1.43,0.57,
b_st_mean:ecotropicalforest,-0.34,0.58,-1.49,0.83,
b_st_mean:ecotundra,0.08,0.54,-0.98,1.2,
