"expName","sitName","fileName","varName","description","UTC_offset","fileVersionNumber","startDate","endDate","missingValCodes","notes"
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_airT.csv","air temperature","site air temperature","8",NA,"2/1/21","9/30/24","#N/A",NA
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_BD.csv","bulk density","soil bulk density for 0-10; 10-20; 20-30 cm","8",NA,"1/1/24","1/1/24","",NA
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_humidity.csv","air humidity","site air humidity","8",NA,"2/1/21","9/30/24","",NA
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_precip.csv","precipitation","daily precipitation for site","8",NA,"2/1/21","9/30/24","",NA
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_soilT.csv","soil temperature","soil temperature sensor data from 2021-2024","8",NA,"5/9/21 10:00","4/7/24 17:00","#N/A",NA
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_soilW.csv","soil moisture","soil moisture sensor data from 2021-2024","8",NA,"5/9/21 10:00","4/7/24 17:00","#N/A",NA
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_SOM.csv","soil organic matter","Soil organic matter content from 2020-2024","8",NA,"6/4/21","6/5/24","#N/A",NA
"185ExperimentStation","Luancheng District, Shijiazhuang City, Hebei province","datafile_YIELD.csv","grain yield","Wheat season yield from 2020-2024 [assume this is grain yield]","8",NA,"6/4/21","6/5/24","#N/A",NA
"ACBB","Lusignan","belowGroundProductivity.csv","root biomass","root density","1",NA,"1/1/21","1/1/21",NA,NA
"ACBB","Lusignan","bulkDensity_2022.csv","bulk density","soil bulk density","1",NA,"1/1/22","1/1/22",NA,NA
"ACBB","Lusignan","grainYield.csv","grain yield","grain yield for cropland plots","1",NA,"1/1/22","1/1/22",NA,NA
"ACBB","Lusignan","LAI.csv","leaf area index","leaf area index measured during period March to June (2022) by scanning leaves with LI-2000 (Li-Cor, Lincoln, Nebraska, USA)","1",NA,"1/1/22","1/1/22",NA,NA
"ACBB","Lusignan","strawYield.csv","straw yield","straw yield","1",NA,"1/1/22","1/1/22",NA,NA
"ACBB","Lusignan","Horizons.csv","soil horizon","soil horizon designation","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Bulk density.csv","bulk density","soil bulk density from initial site characterization in 2007","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","pH_H2O.csv","soil pH","soil pH measured in 1:1 water","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Sand.csv","sand content","percent sand content of soil following Gee & Bauder 1986","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Silt.csv","silt content","percent sand content of soil following Gee & Bauder 1986","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Clay.csv","clay","percent clay content of soil following Gee & Bauder 1986","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","CEC.csv","cation exchange capacity","cation exchange capacity as determined via cobalt hexamine trichloride following Ciesielski and Sterckeman (1997)","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Base saturation.csv","base saturation","base saturation as determined via cobalt hexamine trichloride following Ciesielski and Sterckeman (1997)","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Alo.csv","oxalate extractable aluminum","oxalate extractable aluminum from ground < 2 mm soil fraction","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Feo.csv","oxalate extractable iron","oxalate extractable iron from ground < 2 mm soil fraction","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Fed.csv","dithionite extractable iron","iron extracted with sodium-citrate dithionite","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","Ald.csv","dithionite extractable aluminum","aluminum extracted with sodium-citrate dithionite","1",NA,"1/1/07","1/1/07",NA,NA
"ACBB","Lusignan","moist_C.csv","soil moisture","sensor measured soil moisture from cropland plots","1",NA,"7/1/21","6/20/22 7:00",NA,NA
